sold_date,address,location,boarea,biarea,rooms,plot,price
23 november 2017,Sjöhåla 580,"Kovikshamn, Kungälvs kommun",94.0,87.0,5.0,1068.0,3100000.0
18 november 2017,Galeasgatan 15,"Kungälv, Kungälvs kommun",103.0,64.0,5.0,610.0,3850000.0
17 november 2017,Västerhöjdsvägen 36,"Kärna, Kungälvs kommun",107.0,64.0,5.0,258.0,4000000.0
16 november 2017,Gråstensvägen 19,"Kode Halltorp, Kungälvs kommun",94.0,64.0,5.0,1197.0,3200000.0
16 november 2017,Hägnan 135,"KAREBY, Kungälvs kommun",235.0,64.0,6.0,104335.0,8800000.0
15 november 2017,Rishammarvägen 17,"Kareby, Kungälvs kommun",120.0,80.0,6.0,1142.0,4375000.0
10 november 2017,Nygatan 14,"Marstrand - Koön, Kungälvs kommun",167.0,80.0,6.0,677.0,10800000.0
5 november 2017,Granndalen 7,"Lycke, Kungälvs kommun",50.0,80.0,2.0,1465.0,1875000.0
1 november 2017,Skårby 670,"Kareby, Kungälvs kommun",143.0,80.0,6.0,4813.0,3000000.0
1 november 2017,Kodevägen 3,"KODE, Kungälvs kommun",150.0,50.0,7.0,2025.0,4300000.0
31 oktober 2017,Matskärsvägen 12A,"Lycke, Kungälvs kommun",145.0,50.0,6.0,249.0,4500000.0
31 oktober 2017,Årsnäs 290,"Årsnäs, Kungälvs kommun",167.0,50.0,5.0,2558.0,4950000.0
27 oktober 2017,Staby 350,"Kärna, Kungälvs kommun",110.0,80.0,4.0,911.0,2425000.0
27 oktober 2017,Vråstigen 6,"Överön / Vråkärr, Kungälvs kommun",100.0,80.0,3.0,1453.0,2475000.0
26 oktober 2017,Bergkristallvägen 23,"Kode, Kungälvs kommun",130.0,80.0,5.0,504.0,4780000.0
23 oktober 2017,Östra Gatan 9,"Centrum, Kungälvs kommun",325.0,82.0,10.0,359.0,7900000.0
21 oktober 2017,Kållen 160,"Norrmannebo, Kungälvs kommun",88.0,82.0,4.0,1819.0,1650000.0
20 oktober 2017,Fredkullagatan 8,"Komarken, Kungälvs kommun",175.0,100.0,6.0,741.0,7160000.0
20 oktober 2017,Jakobsvägen 7,"Kode, Kungälvs kommun",188.0,100.0,3.0,1324.0,5475000.0
16 oktober 2017,Mjölnarvägen 13,"Diseröd, Kungälvs kommun",158.0,59.0,7.0,899.0,3965000.0
13 oktober 2017,Klövergången 15,"Centrum, Kungälvs kommun",125.0,59.0,4.0,401.0,4150000.0
13 oktober 2017,Kulperödsvägen 5A,"Gullbringa, Kungälvs kommun",100.0,20.0,5.0,450.0,2495000.0
13 oktober 2017,Stora Ryr 130,"Lycke, Kungälvs kommun",80.0,20.0,5.0,2270.0,1600000.0
12 oktober 2017,Röd 140,"Kareby, Kungälvs kommun",122.0,11.0,4.0,2052.0,3400000.0
12 oktober 2017,Smaragdvägen 48,"Kode, Kungälvs kommun",133.0,11.0,5.0,368.0,3700000.0
10 oktober 2017,Ulvesund 405,"Ytterby - Ulvesund, Kungälvs kommun",72.0,11.0,3.0,681.0,2670000.0
9 oktober 2017,Åsebyberg 853,"Åseby, Kungälvs kommun",137.0,11.0,5.0,1462.0,4150000.0
6 oktober 2017,Toftebergsvägen 2,"Tjuvkil, Kungälvs kommun",84.0,11.0,3.5,1085.0,3700000.0
5 oktober 2017,Kärnavägen 4,"Kärna, Kungälvs kommun",110.0,90.0,7.0,860.0,4100000.0
5 oktober 2017,Enekullsvägen 28,"Enekullen, Kungälvs kommun",125.0,18.0,4.0,789.0,4100000.0
3 oktober 2017,Skårshöjd 8,"Kärna, Kungälvs kommun",120.0,40.0,5.0,900.0,2700000.0
